start;beat
0.326;0.833
0.83;1
1.191;1.167
1.551;1.333
1.912;1.5
2.272;1.667
2.633;1.833
2.993;2
3.345;2.167
3.698;2.333
4.05;2.5
4.403;2.667
4.755;2.833
5.107;3
5.464;3.167
5.821;3.333
6.178;3.5
6.535;3.667
6.892;3.833
7.249;4
7.618;4.167
7.987;4.333
8.356;4.5
8.725;4.667
9.094;4.833
9.463;5
9.824;5.167
10.184;5.333
10.545;5.5
10.906;5.667
11.267;5.833
11.628;6
12.001;6.167
12.375;6.333
12.748;6.5
13.122;6.667
13.495;6.833
13.868;7
14.228;7.167
14.587;7.333
14.946;7.5
15.305;7.667
15.665;7.833
16.024;8
16.388;8.167
16.751;8.333
17.115;8.5
17.478;8.667
17.842;8.833
18.205;9
18.565;9.167
18.925;9.333
19.285;9.5
19.645;9.667
20.004;9.833
20.364;10
20.72;10.167
21.076;10.333
21.432;10.5
21.787;10.667
22.143;10.833
22.499;11
22.849;11.167
23.199;11.333
23.549;11.5
23.899;11.667
24.249;11.833
24.599;12
24.974;12.167
25.348;12.333
25.723;12.5
26.098;12.667
26.472;12.833
26.847;13
27.208;13.167
27.569;13.333
27.93;13.5
28.291;13.667
28.652;13.833
29.013;14
29.354;14.167
29.695;14.333
30.037;14.5
30.378;14.667
30.719;14.833
31.06;15
31.314;15.167
31.568;15.333
31.822;15.5
32.076;15.667
32.33;15.833
32.584;16
32.851;16.167
33.119;16.333
33.386;16.5
33.654;16.667
33.921;16.833
34.189;17
34.44;17.167
34.692;17.333
34.943;17.5
35.194;17.667
35.446;17.833
35.697;18
35.971;18.167
36.245;18.333
36.519;18.5
36.793;18.667
37.067;18.833
37.341;19
37.62;19.167
37.898;19.333
38.176;19.5
38.454;19.667
38.732;19.833
39.01;20
39.312;20.167
39.613;20.333
39.915;20.5
40.216;20.667
40.517;20.833
40.819;21
41.173;21.167
41.527;21.333
41.881;21.5
42.235;21.667
42.589;21.833
42.943;22
43.354;22.167
43.765;22.333
44.175;22.5
44.586;22.667
44.996;22.833
45.407;23
45.768;23.167
46.129;23.333
46.489;23.5
46.85;23.667
47.211;23.833
47.572;24
47.967;24.167
48.362;24.333
48.757;24.5
49.152;24.667
49.548;24.833
49.943;25
50.346;25.167
50.749;25.333
51.152;25.5
51.555;25.667
51.958;25.833
52.361;26
52.868;26.167
53.375;26.333
53.882;26.5
54.389;26.667
54.896;26.833
55.403;27
55.907;27.167
56.41;27.333
56.914;27.5
57.418;27.667
57.922;27.833
58.426;28
58.988;28.167
59.55;28.333
60.113;28.5
60.675;28.667
61.238;28.833
61.8;29
62.372;29.167
62.943;29.333
63.515;29.5
64.087;29.667
64.659;29.833
65.23;30
65.825;30.167
66.419;30.333
67.014;30.5
67.608;30.667
68.202;30.833
68.797;31
69.416;31.167
70.035;31.333
70.655;31.5
71.274;31.667
71.893;31.833
72.513;32
73.126;32.167
73.74;32.333
74.354;32.5
74.967;32.667
75.581;32.833
76.195;33
76.795;33.167
77.395;33.333
77.995;33.5
78.595;33.667
79.195;33.833
79.795;34
80.376;34.167
80.956;34.333
81.537;34.5
82.117;34.667
82.698;34.833
83.278;35
83.95;35.167
84.621;35.333
85.292;35.5
85.964;35.667
86.635;35.833
87.306;36
87.92;36.167
88.533;36.333
89.147;36.5
89.761;36.667
90.374;36.833
90.988;37
91.623;37.167
92.259;37.333
92.895;37.5
93.531;37.667
94.166;37.833
94.802;38
95.428;38.167
96.053;38.333
96.679;38.5
97.304;38.667
97.93;38.833
98.555;39
99.257;39.167
99.959;39.333
100.661;39.5
101.363;39.667
102.065;39.833
102.767;40
103.465;40.167
104.163;40.333
104.861;40.5
105.559;40.667
106.257;40.833
106.955;41
107.781;41.167
108.607;41.333
109.433;41.5
110.259;41.667
111.084;41.833
111.91;42
112.473;42.167
113.037;42.333
113.6;42.5
114.163;42.667
114.727;42.833
115.29;43
115.873;43.167
116.456;43.333
117.039;43.5
117.622;43.667
118.206;43.833
118.789;44
119.255;44.167
119.721;44.333
120.187;44.5
120.653;44.667
121.119;44.833
121.586;45
121.982;45.167
122.379;45.333
122.775;45.5
123.172;45.667
123.568;45.833
123.965;46
124.327;46.167
124.69;46.333
125.052;46.5
125.414;46.667
125.777;46.833
126.139;47
126.506;47.167
126.873;47.333
127.24;47.5
127.607;47.667
127.974;47.833
128.341;48
128.738;48.167
129.135;48.333
129.531;48.5
129.928;48.667
130.325;48.833
130.721;49
131.104;49.167
131.486;49.333
131.869;49.5
132.251;49.667
132.634;49.833
133.016;50
133.395;50.167
133.774;50.333
134.153;50.5
134.532;50.667
134.911;50.833
135.29;51
135.687;51.167
136.084;51.333
136.481;51.5
136.878;51.667
137.275;51.833
137.672;52
138.067;52.167
138.463;52.333
138.859;52.5
139.255;52.667
139.651;52.833
140.047;53
140.415;53.167
140.782;53.333
141.15;53.5
141.518;53.667
141.885;53.833
142.253;54
142.633;54.167
143.013;54.333
143.393;54.5
143.773;54.667
144.153;54.833
144.533;55
144.889;55.167
145.246;55.333
145.602;55.5
145.959;55.667
146.315;55.833
146.672;56
147.078;56.167
147.485;56.333
147.891;56.5
148.298;56.667
148.704;56.833
149.111;57
149.534;57.167
149.957;57.333
150.38;57.5
150.803;57.667
151.226;57.833
151.649;58
152.009;58.167
152.369;58.333
152.729;58.5
153.089;58.667
153.449;58.833
153.808;59
154.067;59.167
154.326;59.333
154.585;59.5
154.844;59.667
155.103;59.833
155.362;60
155.627;60.167
155.892;60.333
156.157;60.5
156.422;60.667
156.688;60.833
156.953;61
157.21;61.167
157.467;61.333
157.724;61.5
157.981;61.667
158.238;61.833
158.495;62
158.746;62.167
158.998;62.333
159.25;62.5
159.502;62.667
159.754;62.833
160.006;63
160.273;63.167
160.54;63.333
160.807;63.5
161.074;63.667
161.342;63.833
161.609;64
161.892;64.167
162.176;64.333
162.459;64.5
162.743;64.667
163.027;64.833
163.31;65
163.653;65.167
163.995;65.333
164.338;65.5
164.68;65.667
165.023;65.833
165.365;66
165.751;66.167
166.136;66.333
166.521;66.5
166.907;66.667
167.292;66.833
167.677;67
168.025;67.167
168.374;67.333
168.722;67.5
169.07;67.667
169.418;67.833
169.767;68
170.169;68.167
170.572;68.333
170.974;68.5
171.376;68.667
171.779;68.833
172.181;69
172.607;69.167
173.034;69.333
173.46;69.5
173.886;69.667
174.313;69.833
174.739;70
175.261;70.167
175.783;70.333
176.305;70.5
176.827;70.667
177.35;70.833
177.872;71
178.444;71.167
179.017;71.333
179.589;71.5
180.161;71.667
180.734;71.833
181.306;72
181.947;72.167
182.588;72.333
183.229;72.5
183.87;72.667
184.51;72.833
185.151;73
185.8;73.167
186.448;73.333
187.096;73.5
187.744;73.667
188.393;73.833
189.041;74
189.708;74.167
190.375;74.333
191.041;74.5
191.708;74.667
192.375;74.833
193.042;75
193.749;75.167
194.455;75.333
195.162;75.5
195.869;75.667
196.575;75.833
197.282;76
197.898;76.167
198.515;76.333
199.131;76.5
199.747;76.667
200.363;76.833
200.98;77
201.642;77.167
202.304;77.333
202.966;77.5
203.628;77.667
204.29;77.833
204.952;78
205.623;78.167
206.295;78.333
206.966;78.5
207.637;78.667
208.308;78.833
208.979;79
209.754;79.167
210.529;79.333
211.304;79.5
212.079;79.667
212.854;79.833
213.629;80
214.306;80.167
214.983;80.333
215.66;80.5
216.337;80.667
217.014;80.833
217.691;81
218.326;81.167
218.96;81.333
219.595;81.5
220.23;81.667
220.865;81.833
221.5;82
222.151;82.167
222.801;82.333
223.452;82.5
224.103;82.667
224.753;82.833
225.404;83
226.214;83.167
227.023;83.333
227.833;83.5
228.642;83.667
229.452;83.833
230.261;84
231.049;84.167
231.837;84.333
232.624;84.5
233.412;84.667
234.2;84.833
234.988;85
236.044;85.167
237.101;85.333
238.158;85.5
239.214;85.667
240.271;85.833
241.328;86
241.882;86.167
242.437;86.333
242.992;86.5
243.547;86.667
244.101;86.833
244.656;87
245.247;87.167
245.838;87.333
246.428;87.5
247.019;87.667
247.61;87.833
248.201;88
248.789;88.167
249.377;88.333
249.966;88.5
250.554;88.666
251.142;88.833
251.731;88.999
